Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Temporada,Pos_principal
1,Brenden Aaronson,USA,"FW,MF",Leeds United,Premier League,25.0,2000.0,25,19,1654,18.4,4,3,7,4,0,0,1,0,0.38,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,1,us USA,"FW,MF",eng Premier League,25-112,2000.0,18.4,4,33,14,42.4,1.8,0.76,0.12,0.29,0,0,1,us USA,"FW,MF",eng Premier League,25-112,2000.0,25,1654,66,70.7,18.4,19,80.0,2,6,21.0,1,1.08,29,24,5,0.27,2.11,1,us USA,"FW,MF",eng Premier League,25-112,2000.0,18.4,1,0,0,14,35,5,28,12,21,0,2023-24,FW
2,Zach Abbott,ENG,DF,Nottingham Forest,Premier League,19.0,2006.0,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,2,eng ENG,DF,eng Premier League,19-274,2006.0,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,3,eng ENG,DF,eng Premier League,19-274,2006.0,2,120,60,5.3,1.3,1,75.0,0,1,45.0,11,0.0,0,4,-4,-3.0,-2.62,2,eng ENG,DF,eng Premier League,19-274,2006.0,1.3,0,0,0,2,1,0,3,2,2,0,2023-24,DF
3,Jones El-Abdellaoui,MAR,"MF,FW",Celta Vigo,La Liga,20.0,2006.0,14,3,462,5.1,2,0,2,2,0,0,0,0,0.39,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,3,ma MAR,"MF,FW",es La Liga,20-030,2006.0,5.1,2,12,3,25.0,2.34,0.58,0.17,0.67,0,0,5,ma MAR,"MF,FW",es La Liga,20-030,2006.0,14,462,33,22.3,5.1,3,77.0,1,11,21.0,9,1.5,8,7,1,0.19,-0.03,3,ma MAR,"MF,FW",es La Liga,20-030,2006.0,5.1,0,0,0,3,3,1,24,1,0,0,2023-24,MF
4,Himad Abdelli,ALG,"FW,MF",Marseille,Ligue 1,26.0,1999.0,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,4,dz ALG,"FW,MF",fr Ligue 1,26-086,1999.0,0.3,0,3,1,33.3,9.31,3.1,0.0,0.0,0,0,6,dz ALG,"FW,MF",fr Ligue 1,26-086,1999.0,1,29,29,1.5,0.3,0,0.0,0,1,29.0,0,0.0,0,3,-3,-9.31,-10.37,4,dz ALG,"FW,MF",fr Ligue 1,26-086,1999.0,0.3,0,0,0,2,0,0,0,0,0,0,2023-24,FW
5,Himad Abdelli,ALG,MF,Angers,Ligue 1,26.0,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,5,dz ALG,MF,fr Ligue 1,26-086,1999.0,10.5,2,11,5,45.5,1.05,0.48,0.0,0.0,2,2,7,dz ALG,MF,fr Ligue 1,26-086,1999.0,13,943,73,49.9,10.5,11,81.0,4,2,25.0,0,1.38,12,13,-1,-0.1,0.09,5,dz ALG,MF,fr Ligue 1,26-086,1999.0,10.5,1,0,0,16,12,1,9,13,17,0,2023-24,MF
6,Ali Abdi,TUN,"MF,DF",Nice,Ligue 1,32.0,1993.0,13,9,755,8.4,1,0,1,1,0,0,4,1,0.12,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,6,tn TUN,"MF,DF",fr Ligue 1,32-053,1993.0,8.4,1,4,1,25.0,0.48,0.12,0.25,1.0,0,0,8,tn TUN,"MF,DF",fr Ligue 1,32-053,1993.0,13,755,58,39.9,8.4,9,73.0,5,4,24.0,1,0.77,12,10,2,0.24,1.27,6,tn TUN,"MF,DF",fr Ligue 1,32-053,1993.0,8.4,4,1,1,14,11,0,23,7,8,0,2023-24,MF
7,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,25.0,2000.0,14,9,663,7.4,0,0,0,0,0,0,3,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,7,gh GHA,MF,fr Ligue 1,25-322,2000.0,7.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,9,gh GHA,MF,fr Ligue 1,25-322,2000.0,14,663,47,35.1,7.4,9,64.0,1,5,17.0,7,1.14,13,15,-2,-0.27,0.39,7,gh GHA,MF,fr Ligue 1,25-322,2000.0,7.4,3,0,0,14,7,0,1,9,7,0,2023-24,MF
8,Saud Abdulhamid,KSA,MF,Lens,Ligue 1,26.0,1999.0,14,4,491,5.5,0,1,1,0,0,0,0,0,0.18,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,8,sa KSA,MF,fr Ligue 1,26-208,1999.0,5.5,0,3,1,33.3,0.55,0.18,0.0,0.0,0,0,10,sa KSA,MF,fr Ligue 1,26-208,1999.0,14,491,35,26.0,5.5,4,84.0,2,10,16.0,6,2.0,8,5,3,0.55,-0.54,8,sa KSA,MF,fr Ligue 1,26-208,1999.0,5.5,0,0,0,8,6,0,18,2,9,0,2023-24,MF
9,Tay Abed,ISR,MF,Levante,La Liga,21.0,2004.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,9,il ISR,MF,es La Liga,21-340,2004.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,11,il ISR,MF,es La Liga,21-340,2004.0,1,2,2,0.1,0.0,0,0.0,0,1,2.0,1,1.0,0,0,0,0.0,0.55,9,il ISR,MF,es La Liga,21-340,2004.0,0.0,0,0,0,0,0,0,0,0,0,0,2023-24,MF
10,Laurent Abergel,FRA,MF,Lorient,Ligue 1,33.0,1993.0,20,20,1732,19.2,1,0,1,1,0,0,6,0,0.05,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,10,fr FRA,MF,fr Ligue 1,33-010,1993.0,19.2,1,18,5,27.8,0.94,0.26,0.06,0.2,0,0,12,fr FRA,MF,fr Ligue 1,33-010,1993.0,20,1732,87,91.6,19.2,20,87.0,15,0,0.0,0,1.35,25,31,-6,-0.31,-0.31,10,fr FRA,MF,fr Ligue 1,33-010,1993.0,19.2,6,0,0,22,17,0,6,19,20,0,2023-24,MF
11,Matthis Abline,FRA,"FW,MF",Nantes,Ligue 1,22.0,2003.0,21,18,1694,18.8,4,2,6,4,0,1,5,0,0.32,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,11,fr FRA,"FW,MF",fr Ligue 1,22-320,2003.0,18.8,4,56,15,26.8,2.98,0.8,0.07,0.27,0,1,13,fr FRA,"FW,MF",fr Ligue 1,22-320,2003.0,21,1694,81,89.6,18.8,18,89.0,15,3,29.0,0,0.67,18,35,-17,-0.9,-0.44,11,fr FRA,"FW,MF",fr Ligue 1,22-320,2003.0,18.8,5,0,0,25,36,3,24,5,11,0,2023-24,FW
12,Abner,BRA,"DF,MF",Lyon,Ligue 1,25.0,2000.0,14,14,1158,12.9,3,0,3,3,0,0,3,1,0.23,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,12,br BRA,"DF,MF",fr Ligue 1,25-260,2000.0,12.9,3,12,4,33.3,0.93,0.31,0.25,0.75,0,0,14,br BRA,"DF,MF",fr Ligue 1,25-260,2000.0,14,1158,83,61.3,12.9,14,83.0,7,0,0.0,1,2.07,19,9,10,0.78,0.29,12,br BRA,"DF,MF",fr Ligue 1,25-260,2000.0,12.9,3,1,0,18,4,0,32,5,12,0,2023-24,DF
13,Zakaria Aboukhlal,MAR,MF,Torino,Serie A,25.0,2000.0,14,5,466,5.2,0,0,0,0,0,0,4,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,13,ma MAR,MF,it Serie A,25-358,2000.0,5.2,0,7,2,28.6,1.35,0.39,0.0,0.0,0,0,15,ma MAR,MF,it Serie A,25-358,2000.0,14,466,33,21.6,5.2,5,61.0,0,9,18.0,5,0.57,2,11,-9,-1.74,-1.26,13,ma MAR,MF,it Serie A,25-358,2000.0,5.2,4,0,0,12,11,7,15,1,11,0,2023-24,MF
14,Abdel Abqar,MAR,DF,Getafe,La Liga,26.0,1999.0,11,8,747,8.3,0,1,1,0,0,0,6,0,0.12,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,14,ma MAR,DF,es La Liga,26-338,1999.0,8.3,0,7,1,14.3,0.84,0.12,0.0,0.0,0,0,16,ma MAR,DF,es La Liga,26-338,1999.0,11,747,68,36.1,8.3,8,79.0,4,3,40.0,0,1.0,9,9,0,0.0,0.61,14,ma MAR,DF,es La Liga,26-338,1999.0,8.3,6,0,0,16,18,1,1,11,11,0,2023-24,DF
15,Tammy Abraham,ENG,FW,Aston Villa,Premier League,28.0,1997.0,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,15,eng ENG,FW,eng Premier League,28-132,1997.0,1.1,0,3,1,33.3,2.84,0.95,0.0,0.0,0,0,17,eng ENG,FW,eng Premier League,28-132,1997.0,2,95,48,4.2,1.1,1,90.0,1,1,5.0,0,0.5,0,1,-1,-0.95,-1.37,15,eng ENG,FW,eng Premier League,28-132,1997.0,1.1,0,0,0,0,0,0,0,0,0,0,2023-24,FW
16,Francis Abu,GHA,MF,Toulouse,Ligue 1,24.0,2001.0,8,7,526,5.8,0,0,0,0,0,0,2,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,16,gh GHA,MF,fr Ligue 1,24-290,2001.0,5.8,0,6,0,0.0,1.03,0.0,0.0,0.0,0,0,19,gh GHA,MF,fr Ligue 1,24-290,2001.0,8,526,66,27.8,5.8,7,69.0,1,1,45.0,1,1.13,10,7,3,0.51,0.25,16,gh GHA,MF,fr Ligue 1,24-290,2001.0,5.8,2,0,0,5,4,0,0,8,12,0,2023-24,MF
17,Giorgi Abuashvili,GEO,"MF,FW",Metz,Ligue 1,23.0,2003.0,14,4,372,4.1,1,0,1,1,0,0,1,0,0.24,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,17,ge GEO,"MF,FW",fr Ligue 1,23-003,2003.0,4.1,1,10,5,50.0,2.42,1.21,0.1,0.2,0,0,20,ge GEO,"MF,FW",fr Ligue 1,23-003,2003.0,14,372,27,19.7,4.1,4,57.0,0,10,15.0,6,0.64,6,11,-5,-1.21,-0.02,17,ge GEO,"MF,FW",fr Ligue 1,23-003,2003.0,4.1,1,0,0,4,4,0,21,3,5,0,2023-24,MF
18,Mathieu Acapandié,MAD,DF,Nantes,Ligue 1,21.0,2004.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,18,mg MAD,DF,fr Ligue 1,21-059,2004.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,21,mg MAD,DF,fr Ligue 1,21-059,2004.0,1,13,13,0.7,0.1,0,0.0,0,1,13.0,1,0.0,0,1,-1,-6.92,-6.11,18,mg MAD,DF,fr Ligue 1,21-059,2004.0,0.1,0,0,0,0,0,0,1,0,0,0,2023-24,DF
19,Francesco Acerbi,ITA,DF,Inter,Serie A,38.0,1988.0,13,11,973,10.8,0,1,1,0,0,0,2,0,0.09,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,19,it ITA,DF,it Serie A,38-001,1988.0,10.8,0,3,1,33.3,0.28,0.09,0.0,0.0,0,0,22,it ITA,DF,it Serie A,38-001,1988.0,13,973,75,45.0,10.8,11,87.0,8,2,10.0,9,2.08,21,11,10,0.92,-1.2,19,it ITA,DF,it Serie A,38-001,1988.0,10.8,2,0,0,11,10,2,1,15,8,0,2023-24,DF
20,Ragnar Ache,GER,FW,Köln,Bundesliga,27.0,1998.0,20,9,1013,11.3,3,3,6,3,0,0,2,0,0.53,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,20,de GER,FW,de Bundesliga,27-198,1998.0,11.3,3,33,13,39.4,2.93,1.15,0.09,0.23,0,0,23,de GER,FW,de Bundesliga,27-198,1998.0,20,1013,51,53.6,11.3,9,77.0,1,11,29.0,0,1.1,18,22,-4,-0.36,-0.36,20,de GER,FW,de Bundesliga,27-198,1998.0,11.3,2,0,0,11,21,7,0,1,5,0,2023-24,FW
21,Joshua Acheampong,ENG,DF,Chelsea,Premier League,19.0,2006.0,11,7,570,6.3,1,0,1,1,0,0,1,0,0.16,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,21,eng ENG,DF,eng Premier League,19-282,2006.0,6.3,1,3,2,66.7,0.47,0.32,0.33,0.5,0,0,24,eng ENG,DF,eng Premier League,19-282,2006.0,11,570,52,24.4,6.3,7,71.0,1,4,19.0,14,1.45,8,11,-3,-0.47,-1.49,21,eng ENG,DF,eng Premier League,19-282,2006.0,6.3,1,0,0,2,5,1,1,11,6,0,2023-24,DF
22,Akor Adams,NGA,FW,Sevilla,La Liga,26.0,2000.0,18,11,1150,12.8,6,2,8,4,2,2,1,0,0.47,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,22,ng NGA,FW,es La Liga,26-013,2000.0,12.8,6,38,21,55.3,2.97,1.64,0.11,0.19,2,2,26,ng NGA,FW,es La Liga,26-013,2000.0,18,1150,64,55.6,12.8,11,88.0,10,7,25.0,0,1.17,19,23,-4,-0.31,0.08,22,ng NGA,FW,es La Liga,26-013,2000.0,12.8,1,0,0,19,5,30,10,0,2,0,2023-24,FW
23,Che Adams,SCO,FW,Torino,Serie A,29.0,1996.0,23,14,1400,15.6,4,1,5,4,0,0,0,0,0.32,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,23,sct SCO,FW,it Serie A,29-213,1996.0,15.6,4,43,13,30.2,2.76,0.84,0.09,0.31,0,0,27,sct SCO,FW,it Serie A,29-213,1996.0,23,1400,61,64.8,15.6,14,80.0,3,9,32.0,0,1.17,16,25,-9,-0.58,0.49,23,sct SCO,FW,it Serie A,29-213,1996.0,15.6,0,0,0,11,10,6,10,1,7,0,2023-24,FW
24,Tyler Adams,USA,MF,Bournemouth,Premier League,26.0,1999.0,15,15,1195,13.3,2,1,3,2,0,0,5,0,0.23,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,24,us USA,MF,eng Premier League,26-362,1999.0,13.3,2,8,6,75.0,0.6,0.45,0.25,0.33,0,0,28,us USA,MF,eng Premier League,26-362,1999.0,15,1195,80,51.1,13.3,15,80.0,7,0,0.0,1,1.33,17,23,-6,-0.45,-0.77,24,us USA,MF,eng Premier League,26-362,1999.0,13.3,5,0,0,22,10,1,0,18,17,0,2023-24,MF
